🥇;ميدالية المركز الأول
🕸;الشبكه العنكبوتيه
🗓;لوحة تقويم دوامة
🗒;لوحة دوامة
🐚;الصدف
🥄;ملعقة
🚙;سيارة زرقاء
🏅;ميدالية رياضية
🐳;حوت
🦑;حبار
😝;ملجوم اللسان مغمض العينين
🏟;ملعب
🤩;ضربها نجوم
☪;نجمة وهلال
✡;نجم ديفيد
🚉;محطة
🍜;رامين
⏹;مربع أسود للتوقف
🛑;لافتة توقف
⏱;ساعة التوقيف
📏;مسطرة مستقيمة
🍓;الفراولة
🎙;ميكروفون الاستوديو
🥙;فطيرة محشوة
☀;مشمس
⛅;مشمس جزئيا
🌥;الشمس البيضاء وراء السحابة
🌦;الشمس البيضاء وراء السحابة مع المطر
🌤;الشمس البيضاء مع سحابة صغيرة
🌞;الشمس مع الوجه
🌻;دوار الشمس
🌅;شروق الشمس
🌄;شروق الشمس فوق الجبال
🌇;شروق الشمس في المدينة
🍣;سوشي
🚟;السكك الحديدية تعليق
💦;ضربات جميلة
🕍;كنيس يهودي
💉;محقنة
👕;تي شيرت
🌮;تاكو
🥡;مربع الإخراج
🎋;شجرة التاناباتا
🍊;يوسفي
🚕;سيارة اجره
🍵;شاي
☎;هاتف
📞;استقبال الهاتف
🔭;تلسكوب
📺;تلفزيون
🕥;clock1030
🕙;clock10
🎾;تنس
⛺;خيمة
🌡;ميزان الحرارة
🤔;وجه التفكير
💭;يعتقد بالون
🕞;clock330
🕒;clock3
👎;استهجن
👎🏿;الابهام بانخفاض لون البشرة الداكنة
👎🏻;الابهام بانخفاض لون البشرة الفاتح
👎🏾;الابهام أسفل نغمة الجلد متوسطة الظلام
👎🏼;الابهام أسفل لهجة البشرة متوسطة الضوء
👎🏽;الابهام أسفل لهجة الجلد المتوسطة
👍;ممتاز
👍🏿;إبهام البشرة الداكنة
👍🏻;إبهام حتى لون البشرة الفاتح
👍🏾;ابهام متوسطة لون البشرة الداكنة
👍🏼;ابهام متوسطة لون البشرة الفاتحة
👍🏽;ابهام متوسطة لون البشرة
🎫;تذكرة
🐯;وجه النمر
⏲;ساعة الموقت
😫;وجه متعب
🚽;الحمام
🍅;طماطم
👅;لسان
🎩;قبعة عالية
🌪;سحابة مع اعصار
🖲;كرة
🚜;جرار زراعى
™;TM
🚋;سيارة الترام
🚊;نوع من القطارات
🚩;علم الثلاثي على آخر
📐;الحاكم الثلاثي
🔱;رمح ثلاثي الشعب
🚎;الترولي أوتبيس كهربائي
🏆;غنيمة
🍹;الشراب الاستوائي
🐠;أسماك إستوائية
🎺;بوق
🌷;الخزامي نبات
🥃;زجاج بهلوان
🦃;ديك رومي
🐢;سلحفاة
🕧;الساعة الثانية عشر و النصف
🕛;الساعة الثانية عشر
🕝;الساعة الثانية و النصف
💕;قلبين
👬;رجلان يدا بيد
🕑;الساعة الثانية
👭;امرأتان يدا بيد
☂;مظلة
⛱;مظلة على الأرض
☔;مظلة مع قطرات المطر
😒;مستاء
🦄;وجه يونيكورن
🔓;فتح
↕;السهم لأعلى
↖;السهم العلوي الأيسر
↗;السهم العلوي الأيمن
⬆;سهم أعلى
🙃;وجهًا مقلوبًا
🔼;السهم يصل صغير
🧛;رعب
🧛🏿;مصاص دماء لون البشرة الداكنة
🧛🏻;مصاص الدماء ضوء البشرة لهجة
🧛🏾;مصاص دماء متوسطة لون البشرة الداكنة
🧛🏼;مصاص دماء متوسطة البشرة خفيفة
🧛🏽;مصاص دماء متوسطة لون البشرة
🚦;ضوء المرور العمودي
📳;وضع الاهتزاز
✌;الخامس
✌🏿;انتصار اليد لون البشرة الداكنة
✌🏻;فوز ناحية لون البشرة الفاتحة
✌🏾;يد النصر المتوسطة لهجة البشرة الداكنة
✌🏼;يد النصر متوسطة-- ضوء لهجة الجلد
✌🏽;النصر اليد المتوسطة لهجة الجلد
📹;كاميرا فيديو
🎮;لعبة فيديو
📼;اتش اس
🎻;كمان
🌋;بركان
🏐;الكرة الطائرة
🖖;يد مرفوعة مع جزء بين الأصابع الوسطى وخاتم
🖖🏿;فولكان تحية لهجة البشرة الداكنة
🖖🏻;فولكان تحية لون البشرة الفاتحة
🖖🏾;فولكان تحية لهجة البشرة المتوسطة الداكنة
🖖🏼;فلكان تحية لهجة البشرة متوسطة الضوء
🖖🏽;فلكان تحية البشرة المتوسطة
🌘;تراجع هلال القمر
🌖;تراجع القمر القطبي
⚠;تحذير
🗑;سلة النفايات
⌚;راقب
🐃;جاموس الماء
🚾;مرحاض
🌊;محيط
🍉;البطيخ
👋;موجة
👋🏿;التلويح باليد لهجة الجلد الداكن
👋🏻;يلوحون بشرة فاتحة اللون
👋🏾;التلويح باليد لهجة البشرة متوسطة الداكنة
👋🏼;التلويح باليد لهجة البشرة متوسطة الضوء
👋🏽;يلوحون ناحية الجلد المتوسطة
〰;مائج داش
🌒;هلال الصبح القمر
🌔;القمر
🙀;صراخ القط
😩;المرهق
💒;حفل زواج
☸;عجلة دارما
♿;كرسي متحرك
⚪;دائرة بيضاء
❕;علامة تعجب رمادية
🏳;يلوحون بالعلم الأبيض
💮;زهرة بيضاء
✅;علامة الاختيار البيضاء
⬜;مربع أبيض كبير
◽;أبيض مربع صغير متوسط
◻;مربع أبيض متوسط
⭐;نجمة
❔;سؤال رمادي
▫;مربع صغير أبيض
🔳;زر أبيض مربع
🥀;زهرة ذابلة
🎐;ريح الرنين
🌬;وجه الرياح تهب
🍷;كأس نبيذ
😉;غمزة
😜;اللسان الى الخارج وعين تغمز
🐺;الذئب
👩;النساء
👩‍🎨;فنان امرأة
👩🏿‍🎨;امرأة فنانة البشرة الداكنة
👩🏻‍🎨;امرأة فنان ضوء البشرة لهجة
👩🏾‍🎨;امرأة الفنان متوسطة البشرة الداكنة
👩🏼‍🎨;امرأة الفنان متوسطة لون البشرة الفاتحة
👩🏽‍🎨;امرأة الفنان متوسطة لون البشرة
👩‍🚀;امرأة فضاء
👩🏿‍🚀;امرأة رائد فضاء البشرة الداكنة
👩🏻‍🚀;امرأة رائد فضاء ضوء البشرة لهجة
👩🏾‍🚀;امرأة فضاء امرأة متوسطة اللهجة الظلام
👩🏼‍🚀;امرأة فضاء امرأة متوسطة ضوء البشرة لهجة
👩🏽‍🚀;امرأة فضاء متوسطة لون البشرة
🚴‍♀️;ركوب الدراجات المرأة
🚴🏿‍♀️;امرأة ركوب الدراجات لون البشرة الداكنة
🚴🏻‍♀️;امرأة ركوب الدراجات الخفيفة لون البشرة
🚴🏾‍♀️;امرأة ركوب الدراجات متوسطة لون البشرة الداكنة
🚴🏼‍♀️;امرأة ركوب الدراجات متوسطة ضوء البشرة لهجة
🚴🏽‍♀️;امرأة ركوب الدراجات متوسطة لون البشرة
⛹️‍♀️;المرأة كذاب الكرة
⛹🏿‍♀️;المرأة كذاب الكرة لهجة الجلد الداكن
⛹🏻‍♀️;امرأة كذاب الكرة لون البشرة الفاتحة
⛹🏾‍♀️;امرأة كذاب الكرة متوسطة الجلد الداكن لهجة
⛹🏼‍♀️;امرأة كذاب الكرة متوسطة ضوء البشرة لهجة
⛹🏽‍♀️;امرأة كذاب الكرة متوسطة الجلد
🙇‍♀️;امرأة تنحني
🙇🏿‍♀️;امرأة تنحني بلون البشرة الداكنة
🙇🏻‍♀️;امرأة تنحني لجلد خفيف
🙇🏾‍♀️;امرأة الركوع لهجة البشرة متوسطة الظلام
🙇🏼‍♀️;امرأة الركوع متوسطة لون البشرة الفاتحة
🙇🏽‍♀️;امرأة الركوع متوسط ​​لون البشرة
🤸‍♀️;امرأة كاراطيه
🤸🏿‍♀️;إمرأة، كاراطيه داكن، لهجة الجلد
🤸🏻‍♀️;إمرأة، كاراطيه أضاء، لهجة الجلد
🤸🏾‍♀️;إمرأة، كاراطيه اوسط-داكن، لهجة الجلد
🤸🏼‍♀️;إمرأة، كاراطيه، لون، لهجة
🤸🏽‍♀️;إمرأة، كاراطيه متوسط، لهجة الجلد
🧗‍♀️;تسلق المرأة
🧗🏿‍♀️;امرأة تتسلق لون البشرة الداكنة
🧗🏻‍♀️;المرأة، التسلق، أضاء، تناغم الجلد
🧗🏾‍♀️;المرأة، التسلق، اوسط-داكن، لهجة الجلد
🧗🏼‍♀️;المرأة، التسلق، لون، لهجة
🧗🏽‍♀️;امرأة تتسلق لون البشرة المتوسطة
👷‍♀️;عامل بناء المرأة
👷🏿‍♀️;امرأة عامل البناء لون البشرة الداكنة
👷🏻‍♀️;المرأة، عامل البناء، أضاء، تناغم الجلد
👷🏾‍♀️;امرأة عامل البناء المتوسطة لهجة البشرة الداكنة
👷🏼‍♀️;امرأة عامل البناء متوسطة ضوء البشرة لهجة
👷🏽‍♀️;امرأة عامل البناء المتوسطة الجلد لهجة
👩‍🍳;امرأة تطبخ
👩🏿‍🍳;امرأة تطبخ لون البشرة الداكنة
👩🏻‍🍳;امرأة تطبخ لون البشرة الفاتحة
👩🏾‍🍳;امرأة تطبخ لهجة البشرة متوسطة الداكنة
👩🏼‍🍳;امرأة تطبخ لهجة البشرة متوسطة الضوء
👩🏽‍🍳;امرأة تطبخ متوسطة لون البشرة
💃;راقصة
💃🏿;امرأة ترقص لون البشرة الداكنة
💃🏻;امرأة ترقص لون البشرة الفاتحة
💃🏾;امرأة ترقص متوسطة لون البشرة الداكنة
💃🏼;امرأة ترقص لون البشرة خفيفة ومتوسطة
💃🏽;امرأة ترقص متوسطة لون البشرة
👩🏿;امرأة لهجة البشرة الداكنة
🕵️‍♀️;امرأة مخبر
🕵🏿‍♀️;امرأة المباحث لون البشرة الداكنة
🕵🏻‍♀️;امرأة المخبر لون البشرة الفاتحة
🕵🏾‍♀️;امرأة المباحث متوسطة لون البشرة الداكنة
🕵🏼‍♀️;امرأة المباحث متوسطة ضوء البشرة لهجة
🕵🏽‍♀️;امرأة المباحث متوسط ​​لون البشرة
🧝‍♀️;المرأة قزم
🧝🏿‍♀️;امرأة قزم لون البشرة الداكنة
🧝🏻‍♀️;امرأة قزم لون البشرة الفاتح
🧝🏾‍♀️;امرأة قزم متوسطة لون البشرة الداكنة
🧝🏼‍♀️;امرأة قزم متوسطة لون البشرة الفاتحة
🧝🏽‍♀️;امرأة قزم متوسطة لون البشرة
🤦‍♀️;امرأة تغطية الوجه باليد
🤦🏿‍♀️;امرأة تغطية الوجه باليد لون البشرة الداكنة
🤦🏻‍♀️;امرأة تغطية الوجه باليد ضوء البشرة لهجة
🤦🏾‍♀️;امرأة تغطية الوجه باليد لهجة البشرة المتوسطة الداكنة
🤦🏼‍♀️;امرأة تغطية الوجه باليد البشرة خفيفة والمتوسطة
🤦🏽‍♀️;امرأة تغطية الوجه باليد متوسطة لون البشرة
👩‍🏭;امرأة عامل مصنع
👩🏿‍🏭;امرأة عامل مصنع لون البشرة الداكنة
👩🏻‍🏭;امرأة عامل مصنع خفيف لون البشرة
👩🏾‍🏭;امرأة عامل مصنع متوسط ​​البشرة الداكنة
👩🏼‍🏭;امرأة عامل مصنع متوسطة ضوء البشرة لهجة
👩🏽‍🏭;امرأة عامل مصنع متوسطة لون البشرة
🧚‍♀️;امرأة جنية
🧚🏿‍♀️;امرأة جنية لون البشرة الداكنة
🧚🏻‍♀️;امرأة جنية خفيفة لون البشرة
🧚🏾‍♀️;امرأة جنية متوسطة لون البشرة الداكنة
🧚🏼‍♀️;امرأة خرافية متوسطة البشرة خفيفة
🧚🏽‍♀️;امرأة جنية متوسطة لون البشرة
👩‍🌾;امرأة المزارع
👩🏿‍🌾;امرأة مزارع البشرة الداكنة لهجة
👩🏻‍🌾;امرأة المزارع الخفيفة لهجة الجلد
👩🏾‍🌾;امرأة المزارع لهجة البشرة متوسطة الظلام
👩🏼‍🌾;امرأة المزارع متوسطة لون البشرة الفاتحة
👩🏽‍🌾;امرأة المزارع متوسطة لون البشرة
👩‍🚒;امرأة اطفاء
👩🏿‍🚒;امرأة اطفاء لون البشرة الداكنة
👩🏻‍🚒;امرأة اطفاء ضوء الجلد لهجة
👩🏾‍🚒;امرأة اطفاء متوسطة الجلد الداكن لهجة
👩🏼‍🚒;امرأة اطفاء متوسطة لون البشرة الفاتحة
👩🏽‍🚒;امرأة اطفاء متوسطة الجلد لهجة
🙍‍♀️;امرأة عبوس
🙍🏿‍♀️;امرأة عبوس البشرة الداكنة لهجة
🙍🏻‍♀️;امرأة عبوس ضوء البشرة لهجة
🙍🏾‍♀️;امرأة عبوس متوسطة البشرة الداكنة لهجة
🙍🏼‍♀️;امرأة عبوس متوسطة البشرة خفيفة
🙍🏽‍♀️;امرأة عبوس متوسطة الجلد لهجة
🧞‍♀️;امرأة الجني
🙅‍♀️;امرأة مشيرا لا
🙅🏿‍♀️;إيماءة المرأة لا لون البشرة الداكن
🙅🏻‍♀️;امرأة إيماءة لا لون البشرة الفاتحة
🙅🏾‍♀️;امرأة إيماءة أي لهجة البشرة متوسطة الظلام
🙅🏼‍♀️;امرأة إيماءة أي لهجة البشرة متوسطة الضوء
🙅🏽‍♀️;امرأة إيماءة أي لهجة الجلد المتوسطة
🙆‍♀️;امرأة مشيرا موافق
🙆🏿‍♀️;امرأة إيماء موافق لهجة الجلد الداكن
🙆🏻‍♀️;امرأة إيماء موافق لون البشرة الفاتحة
🙆🏾‍♀️;امرأة إيماء طيب متوسطة لون البشرة الداكنة
🙆🏼‍♀️;امرأة إيماء طيب متوسطة لون البشرة الفاتحة
🙆🏽‍♀️;امرأة إيماء موافق متوسط ​​لون البشرة
💇‍♀️;امرأة تحصل على حلاقة
💇🏿‍♀️;امرأة تحصل على حلاقة البشرة الداكنة
💇🏻‍♀️;امرأة تحصل على حلاقة ضوء البشرة
💇🏾‍♀️;امرأة تحصل على حلاقة متوسطة لون البشرة الداكنة
💇🏼‍♀️;امرأة تحصل على حلاقة متوسطة البشرة خفيفة
💇🏽‍♀️;امرأة تحصل على حلاقة متوسطة لون البشرة
💆‍♀️;امرأة تحصل على تدليك
💆🏿‍♀️;امرأة تحصل على تدليك لون البشرة الداكنة
💆🏻‍♀️;المرأة، الإحضار، دلك، أضاء، تناغم الجلد
💆🏾‍♀️;المرأة، الإحضار، دلك، اوسط-داكن، لهجة الجلد
💆🏼‍♀️;امرأة تحصل على تدليك لهجة البشرة متوسطة الضوء
💆🏽‍♀️;المرأة، الإحضار، تدليك، متوسط، لهجة الجلد
🏌️‍♀️;امرأة الجولف
🏌🏿‍♀️;المرأة، لعب الجولف، داكن، لهجة الجلد
🏌🏻‍♀️;المرأة، ِعب الجولف، أضاء، تناغم الجلد
🏌🏾‍♀️;امرأة الجولف المتوسطة لهجة الجلد الداكن
🏌🏼‍♀️;امرأة الجولف متوسطة لون البشرة الفاتحة
🏌🏽‍♀️;امرأة الجولف متوسطة لون البشرة
💂‍♀️;حارس امرأة
💂🏿‍♀️;امرأة حراسة لون البشرة الداكنة
💂🏻‍♀️;حراسة امرأة خفيفة لون البشرة
💂🏾‍♀️;امرأة حراسة متوسطة الجلد الداكن لهجة
💂🏼‍♀️;حراسة امرأة متوسطة البشرة خفيفة
💂🏽‍♀️;حراسة امرأة متوسطة لون البشرة
👩‍⚕️;عامل صحة المرأة
👩🏿‍⚕️;عامل صحة المرأة لون البشرة الداكنة
👩🏻‍⚕️;عامل صحة المرأة خفيف لون البشرة
👩🏾‍⚕️;المرأة العاملة في مجال الصحة متوسطة البشرة الداكنة
👩🏼‍⚕️;المرأة العاملة في مجال الصحة متوسطة البشرة خفيفة
👩🏽‍⚕️;عامل صحة المرأة متوسطة لون البشرة
🧘‍♀️;امرأة في موقف لوتس
🧘🏿‍♀️;امرأة في وضع اللوتس البشرة الداكنة
🧘🏻‍♀️;امرأة في اللوتس موقف لون البشرة الفاتحة
🧘🏾‍♀️;امرأة في وضع اللوتس متوسطة الجلد الداكن لهجة
🧘🏼‍♀️;امرأة في وضع اللوتس متوسطة لون البشرة الفاتحة
🧘🏽‍♀️;امرأة في وضع اللوتس متوسطة لون البشرة
🧖‍♀️;امرأة في غرفة مشبع بالبخار
🧖🏿‍♀️;امرأة في غرفة مشبع بالبخار لهجة الجلد الداكن
🧖🏻‍♀️;امرأة في غرفة مشبع بالبخار ضوء لهجة الجلد
🧖🏾‍♀️;امرأة في غرفة مشبع بالبخار متوسطة لون البشرة الداكنة
🧖🏼‍♀️;امرأة في غرفة مشبع بالبخار متوسطة لون البشرة الفاتحة
🧖🏽‍♀️;امرأة في غرفة مشبع بالبخار متوسطة لون البشرة
👩‍⚖️;امرأة القاضي
👩🏿‍⚖️;امرأة قاضي لون البشرة الداكنة
👩🏻‍⚖️;امرأة القاضي ضوء لون البشرة
👩🏾‍⚖️;امرأة القاضي متوسطة لون البشرة الداكنة
👩🏼‍⚖️;امرأة القاضي متوسطة البشرة خفيفة
👩🏽‍⚖️;امرأة تحكم متوسط ​​لون البشرة
🤹‍♀️;امرأة شعوذة
🤹🏿‍♀️;امرأة شعوذة لون البشرة الداكنة
🤹🏻‍♀️;امرأة شعوذة ضوء البشرة لهجة
🤹🏾‍♀️;امرأة شعوذة متوسطة لون البشرة الداكنة
🤹🏼‍♀️;امرأة شعوذة متوسطة لون البشرة الفاتحة
🤹🏽‍♀️;امرأة شعوذة متوسطة لون البشرة
🏋️‍♀️;المرأة، يرفع رفع
🏋🏿‍♀️;المرأة، الرفع، الأوزان، داكن، لهجة الجلد
🏋🏻‍♀️;المرأة، الرفع، الأوزان، أضاء، تناغم الجلد
🏋🏾‍♀️;المرأة، الرفع، الأوزان، اوسط-داكن، لهجة الجلد
🏋🏼‍♀️;المرأة، الرفع، الأوزان، ، تناغم الجلد
🏋🏽‍♀️;المرأة، الرفع، الأوزان، متوسط، لهجة الجلد
👩🏻;المرأة لهجة البشرة الفاتحة
🧙‍♀️;امرأة ماجيك
🧙🏿‍♀️;امرأة مسحة لون البشرة الداكنة
🧙🏻‍♀️;امرأة لهجة ضوء البشرة
🧙🏾‍♀️;امرأة نغمة متوسطة الجلد الداكن
🧙🏼‍♀️;امرأة متوسطة الحجم الجلد لهجة خفيفة
🧙🏽‍♀️;امرأة متوسطة الحجم لهجة الجلد
👩‍🔧;ميكانيكي امرأة
👩🏿‍🔧;امرأة ميكانيكي لون البشرة الداكنة
👩🏻‍🔧;امرأة ميكانيكي خفيف لون البشرة
👩🏾‍🔧;امرأة ميكانيكي متوسطة لون البشرة الداكنة
👩🏼‍🔧;امرأة ميكانيكية متوسطة البشرة خفيفة
👩🏽‍🔧;امرأة ميكانيكي متوسطة لون البشرة
👩🏾;امرأة متوسطة لون البشرة الداكنة
👩🏼;امرأة متوسطة لون البشرة الفاتحة
👩🏽;امرأة متوسطة لون البشرة
🚵‍♀️;امرأة ركوب الدراجات الجبلية
🚵🏿‍♀️;امرأة ركوب الدراجات الجبلية لون البشرة الداكن
🚵🏻‍♀️;امرأة ركوب الدراجات الجبلية لون البشرة الفاتح
🚵🏾‍♀️;امرأة ركوب الدراجات الجبلية متوسطة الجلد الداكن لهجة
🚵🏼‍♀️;امرأة ركوب الدراجات الجبلية متوسطة ضوء البشرة لهجة
🚵🏽‍♀️;امرأة ركوب الدراجات الجبلية متوسطة لون البشرة
👩‍💼;عامل مكتب المرأة
👩🏿‍💼;المرأة، عامل المكتب، لون البشرة داكن
👩🏻‍💼;المرأة، عامل المكتب، أضاء، تناغم الجلد
👩🏾‍💼;امرأة تعمل في المكتب متوسطة لهجة الجلد الداكن
👩🏼‍💼;امرأة عامل مكتب متوسطة-- ضوء بشرة ناعمة
👩🏽‍💼;سيدة مكتب عامل المتوسطة الجلد لهجة
👩‍✈️;امرأة الطيار
👩🏿‍✈️;امرأة الطيار لون البشرة الداكنة
👩🏻‍✈️;امرأة الطيار ضوء لون البشرة
👩🏾‍✈️;امرأة الطيار المتوسطة لون البشرة الداكنة
👩🏼‍✈️;امرأة الطيار المتوسطة لون البشرة الفاتحة
👩🏽‍✈️;امرأة الطيار المتوسطة لهجة الجلد
🤾‍♀️;امرأة تلعب كرة اليد
🤾🏿‍♀️;امرأة تلعب كرة اليد لون البشرة الداكنة
🤾🏻‍♀️;امرأة تلعب كرة اليد ضوء لون البشرة
🤾🏾‍♀️;امرأة تلعب كرة اليد متوسطة لون البشرة الداكنة
🤾🏼‍♀️;امرأة تلعب كرة اليد متوسطة البشرة خفيفة
🤾🏽‍♀️;امرأة تلعب كرة اليد متوسطة لون البشرة
🤽‍♀️;امرأة تلعب لعبة البولو المائية
🤽🏿‍♀️;المرأة، لعب، أضفى على القماش تموجا صقي، بولو
🤽🏻‍♀️;المرأة، لعب، أضفى على القماش تموجا صقي، بولو أضاء، لون
🤽🏾‍♀️;المرأة، لعب، أضفى على القماش تموجا صقي، بولو، متوسط ​​- داكن، لهجة الجلد
🤽🏼‍♀️;المرأة، لعب، أضفى على القماش تموجا صقي، بولو، ، لون، لهجة
🤽🏽‍♀️;المرأة، ماء اللعب، بولو، متوسط، لهجة الجلد
👮‍♀️;ضابط شرطة امرأة
👮🏿‍♀️;ضابط شرطة امرأة لون البشرة الداكن
👮🏻‍♀️;ضابط شرطة امرأة خفيف لون البشرة
👮🏾‍♀️;ضابط شرطة امرأة متوسطة لون البشرة الداكنة
👮🏼‍♀️;ضابط شرطة امرأة متوسطة البشرة خفيفة
👮🏽‍♀️;ضابط شرطة امرأة متوسطة لون البشرة
🙎‍♀️;امرأة ترتجف
🙎🏿‍♀️;امرأة ترتدي لهجة البشرة الداكنة
🙎🏻‍♀️;امرأة ترتدي لون البشرة الفاتحة
🙎🏾‍♀️;امرأة ترتدي لهجة البشرة متوسطة الداكنة
🙎🏼‍♀️;امرأة ترتفع درجة حرارة البشرة المتوسطة
🙎🏽‍♀️;امرأة ترتفع درجة حرارة البشرة المتوسطة
🙋‍♀️;رفع يد المرأة
🙋🏿‍♀️;امرأة تربي اليد نغمة الجلد الداكن
🙋🏻‍♀️;امرأة ترتفع اليد لون البشرة الفاتحة
🙋🏾‍♀️;رفع المرأة اليد المتوسطة لهجة الجلد الداكن
🙋🏼‍♀️;رفع المرأة اليد المتوسطة لهجة البشرة الخفيفة
🙋🏽‍♀️;امرأة ترتفع اليد المتوسطة لهجة الجلد
🚣‍♀️;امرأة تجديف القارب
🚣🏿‍♀️;امرأة تجديف زورق لون البشرة الداكنة
🚣🏻‍♀️;المرأة، زورق التجديف، أضاء، لهجة الجلد
🚣🏾‍♀️;امرأة تجديف قارب متوسطة لون البشرة الداكنة
🚣🏼‍♀️;امرأة زورق التجديف متوسطة لون البشرة الفاتحة
🚣🏽‍♀️;امرأة تجديف قارب متوسطة لون البشرة
🏃‍♀️;امرأة تعمل
🏃🏿‍♀️;امرأة تدير لون البشرة الداكنة
🏃🏻‍♀️;امرأة تعمل على ضوء لون البشرة
🏃🏾‍♀️;امرأة تعمل بنبرة الجلد متوسطة الداكنة
🏃🏼‍♀️;امرأة تعمل على البشرة خفيفة ومتوسطة
🏃🏽‍♀️;امرأة تعمل على متوسط ​​لون البشرة
👩‍🔬;عالم المرأة
👩🏿‍🔬;امرأة عالم البشرة الداكنة لهجة
👩🏻‍🔬;امرأة عالم ضوء لهجة الجلد
👩🏾‍🔬;امرأة عالم متوسطة اللهجة الجلد الداكن
👩🏼‍🔬;امرأة عالم متوسطة البشرة خفيفة
👩🏽‍🔬;امرأة عالم متوسطة لهجة الجلد
🤷‍♀️;امرأة ترتجف
🤷🏿‍♀️;امرأة تتجاهل لون البشرة الداكنة
🤷🏻‍♀️;امرأة تقصر لون البشرة الفاتحة
🤷🏾‍♀️;امرأة ترتدي لهجة البشرة متوسطة الداكنة
🤷🏼‍♀️;امرأة تهز متوسطة لون البشرة الفاتحة
🤷🏽‍♀️;امرأة تهز متوسطة لون البشرة
👩‍🎤;امرأة مغنية
👩🏿‍🎤;امرأة مغنية لون البشرة الداكنة
👩🏻‍🎤;امرأة مغنية لون البشرة الفاتحة
👩🏾‍🎤;امرأة مغنية متوسطة الجلد الداكن لهجة
👩🏼‍🎤;امرأة مغنية متوسطة البشرة خفيفة
👩🏽‍🎤;امرأة مغنية متوسطة لون البشرة
👩‍🎓;طالبة
👩🏿‍🎓;امرأة طالبة لون البشرة الداكنة
👩🏻‍🎓;امرأة طالبة لون البشرة الفاتحة
👩🏾‍🎓;امرأة طالبة متوسطة البشرة الداكنة
👩🏼‍🎓;امرأة طالبة البشرة خفيفة متوسطة
👩🏽‍🎓;طالبة متوسطة لون البشرة
🏄‍♀️;تصفح المرأة
🏄🏿‍♀️;امرأة تتصفح لون البشرة الداكنة
🏄🏻‍♀️;امرأة تتصفح لون البشرة الفاتحة
🏄🏾‍♀️;امرأة تتصفح متوسطة لون البشرة الداكنة
🏄🏼‍♀️;امرأة تصفح متوسطة لون البشرة الفاتحة
🏄🏽‍♀️;امرأة تتصفح متوسطة لون البشرة
🏊‍♀️;السباحة امرأة
🏊🏿‍♀️;إمرأة، دوار، داكن، لهجة الجلد
🏊🏻‍♀️;امرأة السباحة ضوء البشرة لهجة
🏊🏾‍♀️;امرأة السباحة المتوسطة لهجة البشرة الداكنة
🏊🏼‍♀️;امرأة السباحة المتوسطة لون البشرة الفاتحة
🏊🏽‍♀️;امرأة السباحة متوسط ​​لون البشرة
👩‍🏫;معلمة
👩🏿‍🏫;مدرس امرأة لون البشرة الداكن
👩🏻‍🏫;امرأة معلم ضوء لون البشرة
👩🏾‍🏫;امرأة المعلم متوسطة لون البشرة الداكنة
👩🏼‍🏫;امرأة المعلم متوسطة لون البشرة الفاتحة
👩🏽‍🏫;امرأة المعلم متوسطة لون البشرة
👩‍💻;امرأة تقني
👩🏿‍💻;امرأة التكنولوجيا لهجة البشرة الداكنة
👩🏻‍💻;امرأة تقنية ضوء لون البشرة
👩🏾‍💻;امرأة تقنية متوسطة اللهجة الجلد الداكن
👩🏼‍💻;امرأة تقنية متوسطة البشرة خفيفة
👩🏽‍💻;امرأة تقنية متوسطة لون البشرة
💁‍♀️;امرأة تميل اليد
💁🏿‍♀️;امرأة تميل ناحية لون البشرة الداكنة
💁🏻‍♀️;امرأة تميل ناحية لون البشرة الخفيفة
💁🏾‍♀️;امرأة تميل ناحية الجلد لهجة متوسطة الظلام
💁🏼‍♀️;امرأة تميل ناحية متوسطة لون البشرة الفاتحة
💁🏽‍♀️;امرأة تميل ناحية الجلد المتوسطة
🧛‍♀️;امرأة مصاص دماء
🧛🏿‍♀️;امرأة مصاصي الدماء لون البشرة الداكنة
🧛🏻‍♀️;امرأة مصاصي الدماء ضوء لون البشرة
🧛🏾‍♀️;امرأة مصاص دماء متوسطة لون البشرة الداكنة
🧛🏼‍♀️;امرأة مصاص دماء متوسطة لون البشرة الفاتحة
🧛🏽‍♀️;امرأة مصاص دماء متوسطة لون البشرة
🚶‍♀️;امرأة تمشي
🚶🏿‍♀️;امرأة تمشي لون البشرة الداكنة
🚶🏻‍♀️;امرأة تمشي لون البشرة الفاتحة
🚶🏾‍♀️;امرأة تمشي لون البشرة الداكنة متوسطة
🚶🏼‍♀️;امرأة تمشي لون البشرة خفيفة ومتوسطة
🚶🏽‍♀️;امرأة تمشي متوسطة لون البشرة
👳‍♀️;امرأة ترتدي عمامة
👳🏿‍♀️;امرأة ترتدي عمامة البشرة الداكنة
👳🏻‍♀️;امرأة ترتدي لون البشرة الفاتح العمامة
👳🏾‍♀️;امرأة ترتدي عمامة متوسطة لون البشرة الداكنة
👳🏼‍♀️;امرأة ترتدي عمامة متوسطة لون البشرة الفاتحة
👳🏽‍♀️;امرأة ترتدي عمامة متوسطة لون البشرة
🧕;امرأة مع الحجاب
🧕🏿;امرأة مع الحجاب لون البشرة الداكنة
🧕🏻;امرأة مع غطاء الرأس الجلد الفاتح
🧕🏾;امرأة مع غطاء الرأس البشرة متوسطة الظلام الحجاب
🧕🏼;امرأة ذات غطاء رأس خفيف ومتوسط ​​الرأس
🧕🏽;امرأة مع الحجاب متوسط ​​لون الجلد
